cur_brand,first_buy_brand,babyage,ZONE,breastfeed,enroll_type2,enroll_age,open_rate0,click_rate0,redem_rate0
0,1,60,1,1,0,-229,0.036649215,0.0,0.0
1,1,60,1,1,1,-203,0.0,0.0,0.6
0,0,120,1,0,1,-217,0.26984127,0.0,0.125
1,0,150,1,1,1,65,0.647058824,0.029411765,0.333333333
0,1,330,1,1,1,-14,0.0,0.0,0.0
0,1,240,1,0,1,-220,0.094339623,0.0,0.375
1,0,180,1,0,1,-127,0.648648649,0.027027027,0.0
0,0,90,0,0,0,-222,0.045454545,0.0,0.0
0,0,60,0,0,1,4,0.029411765,0.0,0.166666667
1,1,210,0,0,1,165,0.875,0.0625,1.0
0,0,210,0,0,0,-220,0.010752688,0.0,0.0
1,1,150,0,0,1,-225,0.259259259,0.074074074,0.4
0,0,150,0,1,0,-214,0.4375,0.020833333,0.5
0,0,150,0,1,0,-245,0.135135135,0.0,0.5
1,1,180,0,0,1,-231,0.075757576,0.03030303,0.5
0,0,150,0,1,1,-249,0.2,0.021052632,0.0
0,0,120,0,1,1,25,0.066666667,0.0,0.0
0,0,120,1,0,0,-33,0.661016949,0.0,0.0
1,1,150,1,0,1,-1236,0.666666667,0.666666667,0.0
0,0,90,1,1,1,-126,0.066037736,0.0,0.0
1,1,120,0,1,1,-192,0.4375,0.046875,0.666666667
0,0,270,0,0,1,-196,0.021276596,0.0,0.0
0,0,180,1,1,1,-189,0.166666667,0.0625,0.0
0,0,60,0,1,1,-109,0.357142857,0.0,0.0
0,0,60,0,1,1,-235,0.038095238,0.00952381,0.0
1,0,60,1,1,1,-20,0.03125,0.0,0.0
1,1,30,0,1,0,-191,0.028985507,0.014492754,0.0
0,0,120,1,1,1,-241,0.007407407,0.0,0.0
1,0,120,0,0,1,62,0.576923077,0.153846154,0.333333333
1,1,60,0,1,1,-1612,0.681818182,0.045454545,0.0
0,0,180,0,1,1,-96,0.093023256,0.0,0.0
0,0,300,0,0,1,-200,0.185185185,0.012345679,0.8
0,0,60,1,0,1,-220,0.306451613,0.048387097,0.166666667
0,0,180,0,1,0,-150,0.166666667,0.083333333,0.0
1,0,330,1,0,0,-69,0.0,0.0,0.0
1,0,240,1,1,1,153,0.227272727,0.045454545,0.142857143
0,0,240,1,0,0,-178,0.244444444,0.022222222,0.0
1,1,60,0,0,1,-34,0.294117647,0.058823529,0.142857143
1,0,120,0,1,0,-231,0.086206897,0.017241379,0.0
1,1,210,0,1,1,-225,0.0,0.0,0.333333333
1,0,270,1,1,1,28,0.438596491,0.157894737,0.0
0,0,330,1,0,1,-165,0.020408163,0.0,0.0
0,0,150,1,1,0,-199,0.361702128,0.010638298,0.0
1,1,210,1,0,0,-244,0.071428571,0.214285714,0.0
1,1,270,0,1,1,73,0.0,0.0,0.285714286
1,1,30,0,1,0,-226,0.055555556,0.0,0.0
0,1,60,1,1,1,-229,0.139534884,0.069767442,0.0
0,1,240,1,1,1,-569,0.166666667,0.041666667,0.666666667
0,0,240,0,1,0,-209,0.05,0.0,0.0
0,0,120,0,1,1,-48,0.564516129,0.177419355,0.0
1,0,150,0,1,1,-74,0.216216216,0.027027027,0.285714286
1,1,150,1,1,1,-65,0.939393939,0.0,0.333333333
0,0,90,1,0,1,-157,0.24137931,0.017241379,0.666666667
0,0,120,1,0,1,-28,0.140350877,0.052631579,0.0
0,1,150,1,0,0,-162,0.210144928,0.028985507,0.5
0,1,330,1,1,1,-143,0.0,0.0,0.25
1,1,360,1,1,0,-170,0.055555556,0.027777778,0.333333333
1,1,210,0,1,0,-131,0.821428571,0.25,0.142857143
0,0,0,1,1,1,-150,0.344827586,0.034482759,0.428571429
0,0,360,1,1,1,-172,0.027777778,0.027777778,0.0
0,1,150,1,0,0,-48,0.448979592,0.081632653,0.571428571
1,1,180,1,0,1,-210,0.056,0.0,0.333333333
0,1,330,1,0,0,-70,0.166666667,0.033333333,0.0
0,0,270,1,0,0,-156,0.010416667,0.0,0.0
1,1,150,1,0,1,899,0.58974359,0.179487179,0.0
1,1,240,0,1,1,29,0.260869565,0.086956522,0.5
1,1,330,0,1,0,-131,0.413793103,0.103448276,0.25
0,0,30,0,1,0,-114,0.296296296,0.092592593,0.0
1,1,330,1,1,1,59,0.172413793,0.0,0.0
0,0,330,1,1,0,-148,0.0,0.0,0.0
1,1,180,1,1,1,-46,0.204545455,0.090909091,0.0
1,1,300,1,1,0,-172,0.154761905,0.035714286,0.0
1,1,180,1,1,1,-109,0.0,0.0,0.0
1,0,210,1,1,1,-94,0.48,0.14,0.0
0,0,330,1,1,0,-214,0.068493151,0.02739726,0.166666667
0,0,300,1,1,1,-249,0.661016949,0.016949153,0.0
1,1,30,1,0,0,-132,0.707692308,0.084615385,0.0
1,1,180,1,1,1,15,0.375,0.171875,0.333333333
1,1,60,1,1,0,-140,0.453488372,0.058139535,0.5
0,0,330,1,1,0,-222,0.006493506,0.0,0.0
0,1,180,1,0,1,49,0.032258065,0.0,0.0
1,1,180,1,1,1,107,0.0,0.0,0.0
0,0,270,0,1,1,28,0.006493506,0.0,0.090909091
1,1,90,0,1,1,-16,0.0,0.0,0.0
1,1,180,0,0,1,-804,0.736842105,0.078947368,0.363636364
0,1,30,0,1,0,-20,0.152542373,0.06779661,0.5
0,0,0,0,1,1,-12,0.547945205,0.164383562,0.285714286
0,0,60,1,0,1,-162,0.482758621,0.0,0.0
0,0,60,1,1,1,-162,0.482758621,0.0,0.0
1,1,360,0,0,0,-196,0.043478261,0.02173913,0.0
0,1,180,1,0,0,-160,0.037037037,0.0,0.0
0,0,180,0,1,0,-145,0.083333333,0.010416667,0.0
0,0,60,1,0,1,-64,0.277777778,0.0,0.5
1,1,210,0,1,1,-634,0.071428571,0.166666667,0.666666667
1,1,360,0,1,1,7,0.058823529,0.0,0.0
0,1,150,1,1,0,-115,0.147058824,0.0,0.0
1,1,120,0,0,1,-33,0.071428571,0.0,0.0
1,1,240,1,1,1,-78,0.114583333,0.0,0.0
1,1,120,1,1,0,-37,0.058823529,0.0,0.0
0,0,240,1,1,1,-148,0.303030303,0.03030303,0.0
0,1,60,1,1,0,-166,0.0,0.0,0.4
1,1,180,0,0,1,-151,0.222222222,0.0,0.333333333
0,0,180,0,0,0,-142,0.03030303,0.0,0.0
0,1,150,0,0,0,139,0.0,0.0,0.142857143
0,0,270,0,1,1,-145,0.070707071,0.0,0.0
0,0,210,1,0,1,-111,0.367346939,0.020408163,0.0
0,0,30,0,1,0,-193,0.0,0.0,0.0
1,1,360,1,1,0,-61,0.472222222,0.027777778,0.0
1,1,240,0,1,1,69,0.233333333,0.033333333,0.166666667
0,0,60,0,1,1,-104,0.0,0.0,0.333333333
0,0,210,0,1,1,-209,0.028571429,0.00952381,0.0
0,0,210,0,1,1,-41,0.0,0.0,0.2
1,1,30,1,1,1,-208,0.020833333,0.0,0.0
0,0,0,1,0,1,-184,0.020833333,0.0,0.0
0,0,180,1,0,1,5,0.15,0.025,0.0
1,1,90,1,1,0,-219,0.642857143,0.0,0.142857143
0,0,240,1,0,0,-155,0.010989011,0.0,0.0
1,1,120,1,1,0,-65,0.0,0.0,0.0
0,0,30,1,1,0,-22,0.0,0.0,0.0
0,0,210,1,0,0,-89,0.0,0.0,0.0
0,0,210,1,0,0,-216,0.086956522,0.0,0.0
1,0,90,1,1,1,31,0.789473684,0.175438596,0.142857143
0,0,90,1,0,0,-117,0.404761905,0.0,0.333333333
0,0,180,0,0,1,-61,0.0625,0.0,0.0
0,0,210,1,0,0,-122,0.065934066,0.010989011,1.0
0,0,210,1,0,1,-2,0.870967742,0.032258065,1.0
1,1,270,1,0,0,-189,0.135135135,0.0,0.333333333
1,1,210,1,0,1,108,0.745098039,0.176470588,0.166666667
0,1,300,0,0,1,228,0.652173913,0.086956522,0.5
1,1,150,1,1,1,46,0.0,0.0,0.0
1,1,210,1,1,1,-26,0.633333333,0.166666667,0.0
0,1,210,1,1,1,-849,0.903846154,0.134615385,0.0
1,1,30,1,0,0,-235,0.192307692,0.0,0.0
0,0,240,0,0,1,-17,0.0,0.0,0.0
0,0,60,0,1,1,-37,0.103448276,0.0,0.0
1,1,360,0,0,1,197,0.357142857,0.0,1.0
0,0,150,0,0,1,-246,0.519230769,0.038461538,0.571428571
0,0,270,1,1,1,-46,0.052631579,0.0,0.0
0,0,150,1,0,1,-1067,0.211538462,0.057692308,0.0
0,0,240,1,1,1,-236,0.1,0.0,0.142857143
0,0,30,0,1,1,-191,0.0,0.0,0.0
0,0,210,1,0,1,70,0.25,0.0625,0.0
0,1,180,1,1,0,-26,0.46875,0.125,0.0
0,0,150,1,0,1,73,0.016393443,0.0,0.333333333
0,1,0,1,1,1,-49,0.260869565,0.043478261,0.0
0,0,150,1,0,1,-17,0.238095238,0.071428571,0.0
1,0,30,1,1,1,-69,0.628571429,0.057142857,0.5
1,1,180,1,0,1,5,0.078431373,0.019607843,0.125
1,1,120,1,1,0,-174,0.341176471,0.082352941,0.0
0,1,30,1,1,0,-185,0.216216216,0.054054054,0.5
0,0,30,1,1,1,-241,0.0,0.0,0.0
1,1,60,1,1,1,-78,0.512195122,0.024390244,0.5
0,0,60,1,1,1,-167,0.136363636,0.0,0.0
1,1,270,1,0,1,83,0.354166667,0.0,0.142857143
1,0,300,1,1,0,-68,0.113636364,0.0,0.0
1,1,60,1,1,1,15,0.308823529,0.088235294,0.333333333
0,0,90,1,1,0,-234,0.473684211,0.0,0.0
0,0,90,1,1,0,-172,0.25,0.0,0.0
0,0,210,1,1,0,-27,0.311688312,0.025974026,0.125
0,1,150,1,1,0,-152,0.083333333,0.020833333,0.375
0,0,240,1,0,0,-232,0.027027027,0.0,0.0
1,1,240,1,1,0,-212,0.3,0.028571429,0.0
1,1,90,1,1,1,10,0.05,0.025,0.0
1,1,90,1,1,1,-175,0.5,0.055555556,0.0
1,1,180,1,0,1,-2,0.487179487,0.025641026,0.0
0,0,240,1,1,1,-231,0.0,0.0,0.0
0,0,120,1,0,0,-229,0.230769231,0.0,0.0
1,1,60,1,1,1,54,0.037037037,0.037037037,0.285714286
0,1,90,1,1,1,-187,0.258823529,0.011764706,0.0
0,0,240,1,0,1,-184,0.054054054,0.0,1.0
1,1,90,1,1,1,-135,0.40625,0.09375,0.8
1,1,240,1,1,1,3,0.22,0.0,0.666666667
0,0,300,1,0,1,-83,0.244680851,0.010638298,0.0
1,1,270,1,1,1,-25,0.266666667,0.066666667,0.0
1,1,120,1,1,1,121,0.375,0.0,0.6
1,0,150,1,0,0,-170,0.244444444,0.022222222,0.285714286
1,1,240,1,1,1,-54,0.075471698,0.018867925,0.6
0,0,30,1,1,1,-28,0.151162791,0.0,0.0
0,1,120,1,0,1,-242,0.166666667,0.029411765,0.5
0,0,360,1,0,1,-185,0.112359551,0.0,0.0
0,1,90,0,1,1,-15,0.034883721,0.0,0.0
1,1,30,1,1,1,-206,0.0,0.0,0.0
0,0,150,1,1,1,-265,0.0,0.0,0.0
1,1,180,1,0,1,-712,0.567567568,0.22972973,0.2
0,0,150,1,1,1,-27,0.00952381,0.0,0.0
0,1,300,0,1,1,-83,0.0,0.0,0.0
1,1,0,1,1,1,-897,0.283783784,0.0,0.0
0,0,150,1,1,1,-239,0.021276596,0.0,0.0
0,0,60,0,1,1,114,0.444444444,0.0,0.0
1,1,60,0,1,1,-172,0.013452915,0.0,0.5
1,1,30,0,1,1,-39,0.044444444,0.007407407,0.0
1,1,210,1,0,1,-202,0.138888889,0.064814815,0.2
1,1,60,1,1,1,-184,0.485714286,0.285714286,0.0
0,0,240,0,1,1,32,0.037037037,0.0,0.0
1,1,150,1,1,1,-101,0.0,0.0,0.428571429
1,1,0,0,1,1,-185,0.247191011,0.011235955,0.0
0,0,60,1,1,0,-36,0.1875,0.0,0.0
1,1,360,1,1,0,-166,0.382978723,0.127659574,0.333333333
1,1,30,1,1,1,-32,0.862068966,0.344827586,0.4
0,0,270,1,0,1,-3068,0.209302326,0.0,0.142857143
0,0,0,0,1,1,-270,0.111111111,0.0,0.0
0,0,30,0,0,0,-36,0.076923077,0.0,0.0
0,0,60,0,1,1,-46,0.0,0.0,0.0
0,0,0,0,1,0,-36,0.033898305,0.0,0.0
0,1,300,1,1,0,-150,0.0,0.0,0.0
0,0,180,0,1,0,-47,0.27027027,0.027027027,0.0
1,1,210,0,0,1,23,0.206349206,0.031746032,0.125
0,0,210,0,1,0,-38,0.081395349,0.0,0.0
0,0,150,0,1,0,-36,0.061452514,0.005586592,1.0
0,0,360,0,1,1,-46,0.28,0.026666667,0.0
0,0,60,0,1,0,-89,0.659090909,0.0,0.166666667
0,1,120,1,0,0,-36,0.022727273,0.0,0.0
1,1,60,1,1,1,-4,0.0,0.0,0.0
