INDIVIDUAL_ID,cur_brand,first_buy_brand,babyage,ZONE,breastfeed,enroll_type2,enroll_age,open_rate0,click_rate0,redem_rate0
1E+12,1, ,420,1,2,Self Enrolled,-22,0.25,0,0
1E+12,2, ,900,1,1,Self Enrolled,-164,0.5,0.090909091,0
1E+12,1,1,30,1,1,Self Enrolled,-165,0.298245614,0,0.125
1E+12, , ,420,9,1,Self Enrolled,-98,0.147727273,0.068181818,0
1E+12, , ,630,1,1,CoReg,-178,0.3,0,0
1E+12,2,1,150,1,1,Self Enrolled,30,0.075,0,0
1E+12,1,1,270,1,2,Self Enrolled,-83,0,0,0
1E+12,1, ,930,1,3,Self Enrolled,90,0.25,0.1,0
1E+12,3,3,360,1,2,Self Enrolled,8,0.027522936,0.009174312,0.6
1E+12, , ,60,1,1,Self Enrolled,-51,0.146341463,0,0
1E+12,1,1,0,1,2,Self Enrolled,-69,0,0,0
1E+12, , ,330,1,1,Self Enrolled,-69,0.435897436,0.025641026,0.142857143
1E+12, ,1,270,1,1,Self Enrolled,-205,0.107142857,0,0.25
1E+12, , ,1050,1,1,Self Enrolled,41,0.034482759,0.034482759,0
1E+12, , ,690,1,2,Self Enrolled,-65,0.111111111,0,0
1E+12, , ,900,1,1,Self Enrolled,147,1,0,0
1E+12, , ,630,1,1,Self Enrolled,-181,0.333333333,0,0.333333333
1E+12, , ,810,1,2,Self Enrolled,-518,0,0,0
1E+12,3,1,300,1,3,Self Enrolled,158,0.025,0,0.333333333
1E+12,3,3,120,1,1,Self Enrolled,-7,0.010869565,0.010869565,0
1E+12,2,2,0,1,3,Self Enrolled,-39,0.621621622,0,0.8
1E+12, , ,720,1,2,Self Enrolled,-183,0.210526316,0.022556391,0.6
1E+12, , ,750,1,1,Self Enrolled,-134,0.638655462,0.075630252,0.6
1E+12, ,3,240,1,2,Self Enrolled,-1529,0,0,0
1E+12, , ,90,1,1,Self Enrolled,-175,0.19047619,0.095238095,0
1E+12, , ,960,1,2,Self Enrolled,-131,0,0,0
1E+12, , ,960,1,1,CoReg,-215,0,0,0
1E+12, ,1,30,1,2,Self Enrolled,-101,0.078431373,0.019607843,0
1E+12, ,1,30,1,1,Self Enrolled,-29,0.315789474,0,0.5
1E+12,1, ,510,9,2,Self Enrolled,25,1,0,1
1E+12,1,1,150,1,1,Self Enrolled,-39,0.457142857,0.228571429,1
1E+12,1, ,990,1,1,Self Enrolled,-39,0.107142857,0,0
1E+12,1, ,510,1,3,Self Enrolled,-238,0.2,0,0
1E+12, , ,870,1,2,Self Enrolled,-284,0.085106383,0,0
1E+12, , ,810,1,2,CoReg,-128,0.058823529,0,0
1E+12, , ,930,1,1,Self Enrolled,577,0,0,0
1E+12,1, ,510,1,2,Self Enrolled,19,0.216216216,0,0.142857143
1E+12,3,1,60,1,2,Self Enrolled,-218,0,0,0
1E+12,1,5,60,1,2,Self Enrolled,-162,0.583333333,0.138888889,0.5
1E+12, ,2,90,1,2,Self Enrolled,-96,0.153846154,0,0
1E+12,3, ,390,1,1,Self Enrolled,-988,0.275,0.1,0.4
1E+12, , ,90,1,1,Self Enrolled,-96,0.148148148,0,0.333333333
1E+12, ,1,90,1,2,Self Enrolled,-106,0.257142857,0.028571429,0.2
1E+12, , ,390,1,2,Self Enrolled,-90,0.557692308,0.076923077,1
1E+12,2, ,720,1,1,Self Enrolled,-155,0,0,0
1E+12,1, ,1050,1,1,Self Enrolled,-12,0.552631579,0.263157895,0
1E+12, , ,0,1,1,Self Enrolled,-171,0.075,0,0
1E+12, ,1,210,1,2,Self Enrolled,154,0.591397849,0.086021505,0
1E+12,3, ,810,1,2,Self Enrolled,-106,0.367647059,0.073529412,0.333333333
1E+12, , ,420,1,2,Self Enrolled,-244,0.04,0,0.5
1E+12,3,2,0,1,2,Self Enrolled,-110,0.5,0.2,0.5
1E+12,1,1,360,1,2,Self Enrolled,-4,0,0,0
1E+12, , ,660,1,2,Self Enrolled,-202,0,0,0
1E+12,5, ,540,1,3,CoReg,-152,0.428571429,0,0
1E+12,6, ,450,1,1,Self Enrolled,46,0.277777778,0,0
1E+12, , ,660,3,1,Self Enrolled,287,0.5,0,0
1E+12,1,1,30,1,2,Self Enrolled,29,0.107142857,0.035714286,0
1E+12, , ,480,1,2,Self Enrolled,-211,0.152542373,0,0
1E+12, , ,660,1,1,Self Enrolled,137,0,0,0
1E+12, , ,510,1,1,Self Enrolled,-209,0.652173913,0.043478261,1
1E+12, , ,420,1,1,Self Enrolled,-43,0,0,0
1E+12, , ,30,1,1,Self Enrolled,-1005,0.756097561,0,0.5
1E+12, , ,900,1,2,Self Enrolled,-756,0,0,0
1E+12, ,1,150,1,2,Self Enrolled,-105,0.548387097,0.129032258,0
1E+12,6, ,720,1,1,Self Enrolled,-7,0,0,0
1E+12, , ,60,1,1,Self Enrolled,613,0.448275862,0,0
1E+12, ,2,90,1,1,Self Enrolled,-197,0.05,0.025,0
1E+12,1,1,30,1,2,Self Enrolled,-94,0.45,0.016666667,0.5
1E+12, , ,840,1,2,Self Enrolled,-671,0.333333333,0,0
1E+12, , ,570,1,1,Self Enrolled,-5,0.153846154,0,0.333333333
1E+12, , ,150,1,1,Self Enrolled,53,0.25,0.05,0
1E+12, , ,480,1,1,Self Enrolled,-178,0.14,0,0
1E+12,4,4,60,1,3,Self Enrolled,50,0.28,0.04,0
1E+12, , ,990,1,2,Self Enrolled,65,0,0,0
1E+12,3,3,0,1,1,Self Enrolled,-138,0.32,0,0
1E+12,4,2,210,1,2,Self Enrolled,-43,0.153846154,0.019230769,0
1E+12,4, ,570,1,1,Self Enrolled,-1491,0.353535354,0.050505051,1
1E+12, , ,60,9,1,Self Enrolled,-243,0.060606061,0,0
1E+12, , ,720,1,2,Self Enrolled,-222,0,0,0
1E+12, , ,630,1,1,Self Enrolled,202,0,0,0
1E+12, ,3,240,1,3,Self Enrolled,-82,0.1,0,0.375
1E+12,6, ,780,1,2,Self Enrolled,-218,0,0,0
1E+12,1,1,90,1,2,Self Enrolled,-224,0.367647059,0.058823529,0.666666667
1E+12, , ,750,1,2,Self Enrolled,-241,0,0,0
1E+12,1,1,0,9,1,Self Enrolled,-100,0.034090909,0,0.285714286
1E+12, , ,1020,1,2,Self Enrolled,-226,0,0,0
1E+12,1,1,330,1,2,Self Enrolled,-134,0,0,1
1E+12,1, ,870,1,3,Self Enrolled,-64,0,0,0
1E+12, , ,1080,1,2,Self Enrolled,-235,0,0,0
1E+12,6,5,210,1,3,Self Enrolled,-144,0.011363636,0,0
1E+12, , ,0,1,1,Self Enrolled,-194,0.021505376,0.010752688,0
1E+12,3, ,480,1,1,Self Enrolled,-61,0.210526316,0,0
1E+12, , ,60, ,1,Self Enrolled,-24,0.054054054,0,0
1E+12, , ,960,1,1,Self Enrolled,-239,0,0,0
1E+12, , ,630,1,1,Self Enrolled,-733,0,0,0
1E+12, , ,570,1,1,Self Enrolled,24,0.196721311,0,0
1E+12, , ,480,1,1,Self Enrolled,-42,0,0,0
1E+12,1,1,60,1,2,Self Enrolled,-16,0,0,0
1E+12, , ,90,1,1,Self Enrolled,-88,0.042553191,0,0
1E+12, , ,750,1,1,Self Enrolled,34,0.363636364,0,0
1E+12, , ,330,1,1,Self Enrolled,-75,0.111111111,0.047619048,0
1E+12, , ,540,1,1,Self Enrolled,331,0.294117647,0.019607843,0
1E+12,1, ,1020,1,2,Self Enrolled,-17,0.333333333,0.055555556,0
1E+12, , ,870,1,2,Self Enrolled,71,0.024390244,0,0
1E+12,3,1,270,1,2,Self Enrolled,-6,0.076923077,0,0
1E+12,1,1,180,1,2,Self Enrolled,-75,0.217391304,0,0
1E+12, , ,960,1,1,Self Enrolled,-31,0,0,0
